"Id","Latitude","Longitude","YearCollected","MonthCollected","DayCollected","TimeCollected","DurationInHours","NumberObservers","ObservationCount"
1,42.7825933,-73.807798,2004,8,28,8,4,12,0
2,42.7536111,-73.566667,2004,7,24,17,1.67,1,0
3,40.6638889,-73.968611,2005,9,26,11.5,1,1,0
4,42.6093474,-73.890484,2005,4,20,14,1.5,1,0
5,42.6093474,-73.890484,2005,11,3,15,1,1,0
6,40.6638889,-73.968611,2005,9,26,11.5,1,1,0
7,42.5971341,-73.665433,2005,10,5,14,1,1,0
10,42.6093474,-73.890484,2005,12,26,14,1.5,1,0
11,42.0510903,-76.738992,2006,9,18,7.25,0.42,1,1
12,43.0040947,-76.747422,2006,10,19,12.17,1.33,1,0
13,42.3230958,-76.873516,2006,12,30,12.83,0.33,1,3
15,42.0470383,-76.734386,2006,10,25,8.33,0.42,1,4
16,42.901929,-77.669864,2006,10,12,13,0.75,1,1
18,42.2153016,-76.839417,2006,11,17,9.75,0.08,1,11
19,42.9921971,-76.767644,2006,10,7,7,0.67,1,0
20,42.0549284,-76.74137,2006,10,19,8.17,0.17,1,4
21,42.1249669,-76.897657,2006,10,26,9.83,0.08,1,8
22,42.0761071,-76.841729,2006,9,4,19.25,0.5,2,286
23,42.2157666,-76.843314,2006,10,21,8.08,1.42,4,14
24,43.2575609,-77.4618,2006,11,20,8.83,1.42,2,3
25,42.0509497,-76.744909,2006,11,14,7.5,0.58,1,2
26,42.1228244,-76.898917,2006,10,31,8.17,0.25,1,6
27,42.9426509,-76.945351,2006,12,15,7.75,1.75,1,7
29,40.8941288,-72.798952,2006,12,27,15,0.58,1,0
31,42.901929,-77.669864,2006,10,25,8.42,0.08,1,2
33,42.6093474,-73.890484,2006,5,17,7,2,15,0
34,42.0761071,-76.841729,2006,9,6,18.75,0.83,1,15
35,40.649953,-73.26535,2006,7,8,4.25,0.17,2,6
36,42.0549284,-76.74137,2006,11,1,7.5,0.5,1,3
37,40.6787707,-73.695723,2006,4,7,17,1.5,1,0
38,41.0152517,-72.017569,2006,7,8,11.92,1.5,2,7
39,42.2153016,-76.839417,2006,11,6,7.5,0.08,1,1
40,40.6787707,-73.695723,2006,3,19,15.5,1.5,1,0
41,41.02417,-72.22944,2006,7,8,7.75,3,2,12
42,42.0509497,-76.744909,2006,10,13,8,1,1,9
43,42.0509497,-76.744909,2006,10,13,9,1,1,7
44,42.1177011,-76.898279,2006,10,31,7.83,0.17,1,23
45,42.1190265,-76.898804,2006,10,5,7.58,0.17,1,1
47,42.1040264,-76.830233,2006,9,6,8.17,0.05,1,1
48,42.6093776,-73.890489,2006,10,27,9,3,1,7
49,42.6093776,-73.890489,2006,11,16,12.58,1.42,1,2
50,42.0509497,-76.744909,2006,9,14,7.67,0.5,1,1
51,42.2982445,-75.466705,2006,10,15,7.5,2,1,1
53,42.0473806,-76.736412,2006,11,1,8,0.5,1,1
54,42.0518816,-76.743719,2006,10,19,8.5,0.17,1,1
56,40.6529116,-73.989446,2006,9,24,8.25,2,2,0
57,42.6093474,-73.890484,2006,7,7,19,1.5,15,0
58,42.9904617,-76.772136,2006,9,9,7,0.33,4,2
59,42.6960463,-74.036763,2006,9,16,9,4,18,0
60,42.5005866,-73.775151,2006,10,31,8.75,3.75,1,0
61,42.7825933,-73.807798,2006,10,5,4,2.5,1,0
62,40.6638889,-73.968611,2006,6,10,8.33,1,1,0
63,43.3665009,-77.972504,2006,8,1,6.67,1.5,1,25
64,42.7825933,-73.807798,2006,9,24,13,1,1,100
